Date,AKO1L.VS,APG1L.VS,ARC1T.TL,CPA1T.TL,DGR1R.RG,EEG1T.TL,EFT1T.TL,GRG1L.VS,HAE1T.TL,IGN1L.VS,LHV1T.TL,MRK1T.TL,NCN1T.TL,NTU1L.VS,PKG1T.TL
2021-02-28,,,,,,,,,,,,,,,
2021-03-31,0.2857142857142857,0.21428571428571427,0.6428571428571429,0.8571428571428571,,0.7857142857142857,0.07142857142857142,0.9285714285714286,1.0,0.14285714285714285,0.5,0.42857142857142855,0.35714285714285715,0.5714285714285714,0.7142857142857143
2021-04-30,0.21428571428571427,0.2857142857142857,0.7857142857142857,0.8571428571428571,,0.5,0.14285714285714285,0.9285714285714286,1.0,0.07142857142857142,0.35714285714285715,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.6428571428571429
2021-05-31,0.21428571428571427,0.2857142857142857,0.9285714285714286,0.5714285714285714,,0.5,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.07142857142857142,0.35714285714285715,0.6428571428571429,0.7857142857142857,0.7142857142857143,1.0
2021-06-30,0.21428571428571427,0.42857142857142855,0.9285714285714286,0.6428571428571429,,0.5,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.07142857142857142,0.35714285714285715,0.7142857142857143,0.7857142857142857,0.5714285714285714,1.0
2021-07-31,0.42857142857142855,0.21428571428571427,0.9285714285714286,0.6428571428571429,,0.5714285714285714,0.07142857142857142,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.7142857142857143,0.5,0.7857142857142857,1.0
2021-08-31,0.6428571428571429,0.21428571428571427,0.42857142857142855,0.9285714285714286,,0.7142857142857143,0.14285714285714285,0.07142857142857142,0.5,0.2857142857142857,0.8571428571428571,0.35714285714285715,0.5714285714285714,0.7857142857142857,1.0
2021-09-30,0.5714285714285714,0.21428571428571427,0.7857142857142857,1.0,,0.6428571428571429,0.42857142857142855,0.07142857142857142,0.14285714285714285,0.5,0.9285714285714286,0.35714285714285715,0.2857142857142857,0.7142857142857143,0.8571428571428571
2021-10-31,0.14285714285714285,0.2857142857142857,0.7857142857142857,1.0,,0.9285714285714286,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.5714285714285714,0.8571428571428571,0.35714285714285715,0.5,0.7142857142857143,0.6428571428571429
2021-11-30,0.07142857142857142,0.35714285714285715,0.8571428571428571,0.9285714285714286,,1.0,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.5,0.6428571428571429,0.7857142857142857
2021-12-31,0.13333333333333333,0.5333333333333333,0.8666666666666667,0.7333333333333333,0.6666666666666666,1.0,0.2,0.26666666666666666,0.4,0.3333333333333333,0.6,0.06666666666666667,0.4666666666666667,0.8,0.9333333333333333
2022-01-31,0.6,0.3333333333333333,0.7333333333333333,0.5333333333333333,0.8666666666666667,0.9333333333333333,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.8,0.2,0.4,0.6666666666666666,1.0
2022-02-28,0.8,0.8666666666666667,0.4666666666666667,0.6666666666666666,0.3333333333333333,1.0,0.13333333333333333,0.2,0.4,0.5333333333333333,0.6,0.06666666666666667,0.26666666666666666,0.7333333333333333,0.9333333333333333
2022-03-31,1.0,0.6666666666666666,0.5333333333333333,0.6,0.13333333333333333,0.7333333333333333,0.26666666666666666,0.9333333333333333,0.4,0.3333333333333333,0.8666666666666667,0.06666666666666667,0.4666666666666667,0.8,0.2
2022-04-30,0.8666666666666667,0.9333333333333333,0.5333333333333333,0.6,0.13333333333333333,0.6666666666666666,0.2,1.0,0.4,0.3333333333333333,0.8,0.06666666666666667,0.4666666666666667,0.7333333333333333,0.26666666666666666
2022-05-31,0.8666666666666667,0.6666666666666666,0.6,0.4666666666666667,0.06666666666666667,0.8,0.2,1.0,0.4,0.13333333333333333,0.9333333333333333,0.26666666666666666,0.5333333333333333,0.7333333333333333,0.3333333333333333
2022-06-30,0.8,0.9333333333333333,0.4666666666666667,0.13333333333333333,0.3333333333333333,1.0,0.06666666666666667,0.4,0.6,0.2,0.7333333333333333,0.6666666666666666,0.5333333333333333,0.26666666666666666,0.8666666666666667
2022-07-31,0.8666666666666667,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.06666666666666667,1.0,0.2,0.6,0.8,0.13333333333333333,0.7333333333333333,0.4666666666666667,0.4,0.26666666666666666,0.9333333333333333
2022-08-31,0.6,0.26666666666666666,0.4666666666666667,0.5333333333333333,0.06666666666666667,0.8666666666666667,0.2,0.4,1.0,0.13333333333333333,0.6666666666666666,0.3333333333333333,0.8,0.7333333333333333,0.9333333333333333
2022-09-30,0.6666666666666666,0.26666666666666666,0.7333333333333333,0.6,0.13333333333333333,0.3333333333333333,0.2,0.4666666666666667,0.9333333333333333,0.06666666666666667,0.5333333333333333,0.4,0.8,0.8666666666666667,1.0
2022-10-31,0.3333333333333333,0.06666666666666667,0.7333333333333333,0.6,0.26666666666666666,0.4,0.2,0.5333333333333333,1.0,0.13333333333333333,0.4666666666666667,0.6666666666666666,0.8,0.8666666666666667,0.9333333333333333
2022-11-30,0.3333333333333333,0.13333333333333333,0.8,0.8666666666666667,0.2,0.4,0.26666666666666666,0.7333333333333333,1.0,0.06666666666666667,0.4666666666666667,0.6,0.5333333333333333,0.6666666666666666,0.9333333333333333
2022-12-31,0.4666666666666667,0.3333333333333333,0.6,0.9333333333333333,0.06666666666666667,0.5333333333333333,0.2,0.6666666666666666,1.0,0.13333333333333333,0.7333333333333333,0.26666666666666666,0.8666666666666667,0.4,0.8
2023-01-31,0.6666666666666666,0.4,0.26666666666666666,1.0,0.06666666666666667,0.4666666666666667,0.3333333333333333,0.9333333333333333,0.7333333333333333,0.13333333333333333,0.8666666666666667,0.2,0.8,0.5333333333333333,0.6
2023-02-28,0.6666666666666666,0.4,0.2,0.9333333333333333,0.06666666666666667,0.5333333333333333,0.26666666666666666,0.6,0.4666666666666667,0.13333333333333333,0.7333333333333333,0.3333333333333333,1.0,0.8,0.8666666666666667
2023-03-31,0.6,0.4,0.2,0.8,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.13333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.8666666666666667,0.9333333333333333
2023-04-30,0.7333333333333333,0.6,0.4,0.6666666666666666,0.13333333333333333,0.8,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.2,0.5333333333333333,0.4666666666666667,1.0,0.8666666666666667,0.9333333333333333
2023-05-31,1.0,0.8666666666666667,0.4666666666666667,0.6,0.7333333333333333,0.6666666666666666,0.2,0.4,0.06666666666666667,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.3333333333333333,0.9333333333333333,0.8
2023-06-30,1.0,0.7333333333333333,0.4666666666666667,0.4,0.8,0.5333333333333333,0.06666666666666667,0.6,0.2,0.13333333333333333,0.6666666666666666,0.26666666666666666,0.3333333333333333,0.8666666666666667,0.9333333333333333
2023-07-31,1.0,0.7333333333333333,0.5333333333333333,0.4666666666666667,0.8,0.4,0.26666666666666666,0.6666666666666666,0.2,0.06666666666666667,0.6,0.13333333333333333,0.3333333333333333,0.8666666666666667,0.9333333333333333
2023-08-31,0.4666666666666667,0.8,0.7333333333333333,0.4,0.13333333333333333,0.26666666666666666,0.6,0.6666666666666666,0.2,0.06666666666666667,0.5333333333333333,0.3333333333333333,0.8666666666666667,0.9333333333333333,1.0
2023-09-30,0.4,0.5333333333333333,0.8,0.7333333333333333,0.13333333333333333,0.26666666666666666,0.8666666666666667,0.4666666666666667,0.2,0.06666666666666667,0.6,0.3333333333333333,0.9333333333333333,0.6666666666666666,1.0
2023-10-31,0.4,0.13333333333333333,0.6666666666666666,0.7333333333333333,0.26666666666666666,0.4666666666666667,0.8666666666666667,0.8,0.2,0.06666666666666667,0.6,0.3333333333333333,0.9333333333333333,0.5333333333333333,1.0
2023-11-30,0.3333333333333333,0.2,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.8666666666666667,0.4,0.8,0.06666666666666667,0.13333333333333333,0.4666666666666667,0.26666666666666666,0.9333333333333333,0.6,1.0
2023-12-31,0.4666666666666667,0.13333333333333333,0.6666666666666666,0.5333333333333333,0.6,0.8,0.26666666666666666,0.9333333333333333,0.06666666666666667,0.2,0.4,0.3333333333333333,0.8666666666666667,0.7333333333333333,1.0
